Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
37;Berättelser om ondskan 2000;  Vimmerby - Vuxen; ;;Ce;;2001-01-04;;21042640884;35
38;Besèr, Nathalie, Egypten: Brödraskapets uppgång och fall 2013;  Vimmerby - Vuxen; ;;Cmd;;2013-11-04;;80047025324;0
39;Beskow, Per, Helgonen 2011;  Vimmerby - Vuxen; ;;Cj;;2012-06-12;;80041467590;8
40;Beskow, Per, Trons vägar 2003;  Vimmerby - Vuxen; ;;C;;2003-11-12;;21337040884;44
41;Bhagavadgita 2001;  Vimmerby - Vuxen; ;;Cme;;2001-08-23;;20853820884;30
42;Bhutto, Benazir, Försoning 2008;  Vimmerby - Vuxen; ;;Cmd;;2011-11-14;;80037103655;6
43;Bibeln 1999;  Vimmerby - Vuxen; ;;Cb;;2001-05-30;2015-03-25;21058530884;28
44;Bibeln 2001;  Vimmerby - Vuxen; ;;Cb;;2002-01-09;;20866140884;3
45;Bibeln G.T. Psaltaren 2008;  Vimmerby - Vuxen; ;;Cb;;2009-07-14;;21793300884;2
46;Bibeln N.T. 2011;  Vimmerby - Vuxen; ;;Cb=oa;;2012-02-28;;80041468588;0
47;Birgitta, I dig blev den store Guden en liten pilt 2003;  Vimmerby - Vuxen; ;;Cd;;2003-08-20;2015-03-18;21329720884;15
48;Birgitta, Sanningsord av den heliga Birgitta 1973;  Vimmerby - Vuxen; ;;Cd;;1998-04-06;;20422570884;12
49;Birgitta, Uppenbarelser 2003;  Vimmerby - Vuxen; ;;Cd;;2003-10-28;;21335350884;4
50;Björklund, Lars, Modet att ingenting göra 2003;  Vimmerby - Vuxen; ;;Cg;;2004-02-09;;21345040884;33
51;Bloch, Raymond, Spådom under antiken 1998;  Vimmerby - Vuxen; ;;Cmg;;1998-07-01;;89006844083;16
52;Blågul islam? 1999;  Vimmerby - Vuxen; ;;Cmd;;2000-04-19;;21025070884;23
53;Bodin, Per-Arne, Den oväntade glädjen 1991;  Vimmerby - Vuxen; ;;Cj;;1998-04-06;;20470620884;8
54;Bonhoeffer, Dietrich, Texter i urval 1994;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20471100884;27
55;Borg, Annika, Bibeln på mitt sätt 2009;  Vimmerby - Vuxen; ;;Cc;;2009-11-19;;80039712381;8
56;Bornstein, Anna C., Dalai Lama och den buddhistiska vägen 1988;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471690884;56
57;Broomé, Catharina, Den katolska vägen 1985;  Vimmerby - Vuxen; ;;Ck;;1998-04-06;;20471880884;26
