Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
62;Carlsson, Olle, Kristendom för ateister 2007;  Vimmerby - Vuxen; ;;Ce;;2008-01-16;;80036184727;25
63;Clément, Olivier, Taizé - att ge livet en mening 1998;  Vimmerby - Vuxen; ;;Ci;;1998-07-06;;21222450884;22
64;Dahl, Per Arne, Något att hoppas på 2012;  Vimmerby - Vuxen; ;;Ci;;2015-01-08;;51200370081;0
65;Dalai Lama, Etik för ett nytt millennium 2000;  Vimmerby - Vuxen; ;;Cme;;2002-03-21;;20874070884;41
66;Dalai Lama, Ett meningsfullt liv 2002;  Vimmerby - Vuxen; ;;Cme;;2006-03-03;;20990740884;41
67;Dalai Lama, Ett öppet hjärta 2005;  Vimmerby - Vuxen; ;;Cme;;2005-04-19;;21607890884;10
68;Dalai Lama, Fri i exilen 1991;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471660884;39
69;Dalai Lama, Vishetens öga 1990;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471650884;51
70;Dan, Joseph, Kabbala 2007;  Vimmerby - Vuxen; ;;Cmd;;2008-03-04;;21740690884;7
71;Daodejing 1991;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20470770884;56
72;Daodejing 2008;  Vimmerby - Vuxen; ;;Cm;;2009-02-16;;21781490884;0
73;David-Néel, Alexandra, Bland mystiker och magiker i Tibet 1988;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471830884;23
74;De kristna 1980;  Vimmerby - Vuxen; ;;Cj;;1998-04-06;;20471790884;20
75;De Lange, Nicholas, Judendomen 1988;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471820884;49
76;Den muslimske Jesus 2002;  Vimmerby - Vuxen; ;;Cmd;;2003-06-04;;21323600884;6
77;Den svenska psalmboken 1986;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20242230884;22
78;Den svenska psalmboken med tillägg 2005;  Vimmerby - Vuxen; ;;Ci;;2011-09-28;;47378050034;1
79;Det mångreligiösa Sverige 2005;  Vimmerby - Vuxen; ;;Cm;;2005-05-04;;21609350884;20
80;Diehl, Anita, Vad är religion? 1991;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20471810884;82
81;Donin, Chaim Halevy, Att vara jude 1985;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471800884;53
82;Drury, Nevill, Shamanism 1996;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20255730884;58
83;Duffy, Eamon, Helgon och syndare 2002;  Vimmerby - Vuxen; ;;Ck;;2002-08-07;;20978960884;3
84;Efraim Syriern, Hymnerna om paradiset 1985;  Vimmerby - Vuxen; ;;Cd;;2010-05-03;;80041463858;2
85;Eggehorn, Ylva, Kryddad olja 2005;  Vimmerby - Vuxen; ;;Cc;;2006-03-02;;21632890884;2
86;Eggehorn, Ylva, Leva av källan 1999;  Vimmerby - Vuxen; ;;Ci;;1999-11-25;;21273170884;17
87;Einhorn, Lena, Vad hände på vägen till Damaskus? 2006;  Vimmerby - Vuxen; ;;Cc;;2006-09-14;;21642770884;19
88;Eklund, Stig, Har kyrkan en framtid? 2003;  Vimmerby - Vuxen; ;;Cg;;2003-05-27;;21322320884;7
89;Eldebo, Runar, Kristen i landet lagom 1999;  Vimmerby - Vuxen; ;;Ce;;1999-08-06;;21266670884;10
